DeviceName,Brand,technology,gprs,edge,announced,status,dimensions,weight,sim,size,card_slot,battery,stand_by_hours,talk_time_hours,cpu,internal_memory_mb,os,primary_camera_mp
Apple iPad 3 Wi-Fi + Cellular,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2012, March","Available. Released 2012, March 16th",241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in),662 g (1.46 lb),Micro-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 11560 mAh battery (42.5 Wh),720,9,Dual-core 1.0 GHz Cortex-A9,16384,"iOS 5.1, upgradable to iOS 9.2",5
Apple iPad 3 Wi-Fi,Apple,No cellular connectivity,No,No,"2012, March","Available. Released 2012, March 16th",241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in),652 g (1.44 lb),No,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 11560 mAh battery (42.5 Wh),720,10,Dual-core 1.0 GHz Cortex-A9,16384,"iOS 5.1, upgradable to iOS 9.2",5
Apple iPhone 5,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2012, September","Available. Released 2012, September ",123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in),112 g (3.95 oz),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 1440 mAh battery (5.45 Wh),225,8,Dual-core 1.3 GHz Swift (ARM v7-based),16384,"iOS 6, upgradable to iOS 9.2",8
Apple iPad mini Wi-Fi + Cellular,Apple,GSM / CDMA / HSPA / LTE,Yes,Yes,"2012, October","Available. Released 2012, November",200 x 134.7 x 7.2 mm (7.87 x 5.30 x 0.28 in),312 g (11.01 oz),Nano-SIM,"LED-backlit IPS LCD capacitive touchscreen, 16M colors",No,Non-removable Li-Po 4490 mAh battery (16.7 Wh),,10,Dual-core 1.0 GHz Cortex-A9,16384,"iOS 6, upgradable to iOS 9.2",5
Apple iPad mini Wi-Fi,Apple,No cellular connectivity,No,No,"2012, October","Available. Released 2012, November",200 x 134.7 x 7.2 mm (7.87 x 5.30 x 0.28 in),308 g (10.86 oz),No,"LED-backlit IPS LCD capacitive touchscreen, 16M colors",No,Non-removable Li-Po 4490 mAh battery (16.7 Wh),,10,Dual-core 1.0 GHz Cortex-A9,16384,"iOS 6, upgradable to iOS 9.2",5
Apple iPad 4 Wi-Fi + Cellular,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2012, October","Available. Released 2012, November",241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in),662 g (1.46 lb),Micro-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 11560 mAh battery (42.5 Wh),720,9,Dual-core 1.4 GHz,16384,"iOS 6, upgradable to iOS 9.2",5
Apple iPad 4 Wi-Fi,Apple,No cellular connectivity,No,No,"2012, October","Available. Released 2012, November",241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in),652 g (1.44 lb),No,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 11560 mAh battery (42.5 Wh),720,10,Dual-core 1.4 GHz,16384,"iOS 6, upgradable to iOS 9.2",5
Apple iPhone 5s,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2013, September","Available. Released 2013, September",123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in),112 g (3.95 oz),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 1560 mAh battery (5.92 Wh),250,10,Dual-core 1.3 GHz Cyclone (ARM v8-based),16384,"iOS 7, upgradable to iOS 9.2",8
Apple iPhone 5c,Apple,GSM / CDMA / HSPA / LTE,Yes,Yes,"2013, September","Available. Released 2013, September",124.4 x 59.2 x 9 mm (4.90 x 2.33 x 0.35 in),132 g (4.66 oz),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 1510 mAh battery (5.73 Wh),250,10,Dual-core 1.3 GHz Swift (ARM v7-based),8192,"iOS 7, upgradable to iOS 9.2",8
Apple iPad mini 2,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2013, October","Available. Released 2013, November",200 x 134.7 x 7.5 mm (7.87 x 5.30 x 0.30 in),331 g (Wi-Fi) / 341 g (3G/LTE) (11.68 oz),Nano-SIM,"LED-backlit IPS LCD capacitive touchscreen, 16M colors",No,Non-removable Li-Po 6470 mAh battery (24.3 Wh),,10,Dual-core 1.3 GHz Cyclone (ARM v8-based),16384,"iOS 7, upgradable to iOS 9.2",5
Apple iPad Air,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2013, October",Available. Released November 2013,240 x 169.5 x 7.5 mm (9.45 x 6.67 x 0.30 in),469 g (Wi-Fi) / 478 g (3G/LTE) (1.03 lb),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 8600 mAh battery (32.4 Wh),,10,Dual-core 1.3 GHz Cyclone (ARM v8-based),16384,"iOS 7, upgradable to iOS 9.2",5
Apple iPhone 6,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2014, September","Available. Released 2014, September",138.1 x 67 x 6.9 mm (5.44 x 2.64 x 0.27 in),129 g (4.55 oz),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 1810 mAh battery (6.9 Wh),250,14,Dual-core 1.4 GHz Typhoon (ARM v8-based),16384,"iOS 8, upgradable to iOS 9.2",8
Apple iPhone 6 Plus,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2014, September","Available. Released 2014, September",158.1 x 77.8 x 7.1 mm (6.22 x 3.06 x 0.28 in),172 g (6.07 oz),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 2915 mAh battery (11.1 Wh),384,24,Dual-core 1.4 GHz Typhoon (ARM v8-based),16384,"iOS 8, upgradable to iOS 9.2",8
Apple iPad mini 3,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2014, October","Available. Released 2014, October",200 x 134.7 x 7.5 mm (7.87 x 5.30 x 0.30 in),331 g (Wi-Fi) / 341 g (3G/LTE) (11.68 oz),Nano-SIM/ Apple SIM (US & UK),"LED-backlit IPS LCD capacitive touchscreen, 16M colors",No,Non-removable Li-Po 6470 mAh battery (24.3 Wh),,10,Dual-core 1.3 GHz Cyclone (ARM v8-based),16384,"iOS 8.1, upgradable to iOS 9.2",8
Apple iPad Air 2,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2014, October","Available. Released 2014, October",240 x 169.5 x 6.1 mm (9.45 x 6.67 x 0.24 in),437 g (Wi-Fi) / 444 g (3G/LTE) (15.41 oz),Nano-SIM/ Apple SIM (US & UK),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po battery (27.3 Wh),,10,Triple-core 1.5 GHz Typhoon,16384,"iOS 8.1, upgradable to iOS 9.2",8
Apple iPhone 6s,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2015, September","Available. Released 2015, September",138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),143 g (5.04 oz),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 1715 mAh battery (6.9 Wh),240,14,Dual-core 1.84 GHz Twister,16384,"iOS 9, upgradable to iOS 9.2",12
