DeviceName,Brand,technology,gprs,edge,announced,status,dimensions,weight,sim,size,card_slot,battery,stand_by_hours,talk_time_hours,cpu,internal_memory_mb,os,primary_camera_mp
Huawei T208,Huawei,GSM,No,No,2008,Discontinued,"102 x 45 x 14 mm, 70 cc (4.02 x 1.77 x 0.55 in)",75 g (2.65 oz),Mini-SIM,1.5 inches (~15.8% screen-to-body ratio),No,Removable Li-Ion battery,150,3,,,,
Huawei T158,Huawei,GSM,No,No,2008,Discontinued,"103 x 45 x 13.5 mm, 60 cc (4.06 x 1.77 x 0.53 in)",80 g (2.82 oz),Mini-SIM,1.4 inches (~12.9% screen-to-body ratio),No,Removable Li-Ion battery,150,3,,,,
Huawei T156,Huawei,GSM,No,No,2008,Discontinued,"103.5 x 45 x 13.5 mm, 60 cc (4.07 x 1.77 x 0.53 in)",75 g (2.65 oz),Mini-SIM,1.4 inches (~12.8% screen-to-body ratio),No,Removable Li-Ion battery,150,3,,,,
Huawei U1000,Huawei,GSM / UMTS,Yes,No,"2008, Q3",Discontinued,-,,Mini-SIM,1.5 inches,No,Removable Li-Ion 900 mAh battery,,,,,,
Huawei U1100,Huawei,GSM / UMTS,Yes,No,2008,Discontinued,-,,Mini-SIM,1.8 inches,No,Removable Li-Ion 900 mAh battery,,,,,,
Huawei U1310,Huawei,GSM / UMTS,Yes,Yes,"2008, Q2",Discontinued,"108 x 47.5 x 14.5 mm, 70 cc (4.25 x 1.87 x 0.57 in)",,Mini-SIM,2.2 inches (~29.2% screen-to-body ratio),microSD,Removable Li-Ion battery,,,,,,
Huawei U3300,Huawei,GSM / UMTS,Yes,Yes,"2008, Q2",Discontinued,"98 x 46.4 x 16 mm, 65 cc (3.86 x 1.83 x 0.63 in)",,Mini-SIM,2.0 inches (~27.7% screen-to-body ratio),microSD,Removable Li-Ion battery,,,,,,
Huawei U120,Huawei,GSM / UMTS,Class 10,No,"2007, Q1",Discontinued,"105 x 45.5 x 15.5 mm, 67 cc (4.13 x 1.79 x 0.61 in)",90 g (3.17 oz),Mini-SIM,1.8 inches (~21.3% screen-to-body ratio),microSD,Removable Li-Ion battery,300,,,,,
Huawei U121,Huawei,GSM / UMTS,Class 10,No,"2007, Q2",Discontinued,"103 x 45 x 14.5 mm, 66 cc (4.06 x 1.77 x 0.57 in)",90 g (3.17 oz),Mini-SIM,1.8 inches (~22.0% screen-to-body ratio),microSD,Removable Li-Ion battery,300,,,,,
Huawei U7310,Huawei,GSM / HSPA,Class 10,Yes,"2008, Q2",Discontinued,"103 x 45 x 14.5 mm, 66 cc (4.06 x 1.77 x 0.57 in)",,Mini-SIM,2.4 inches (~38.5% screen-to-body ratio),microSD,Removable Li-Ion battery,,,,,,
Huawei G6600 Passport,Huawei,GSM,Class 10,Class 10,"2009, December. Released 2010, Q1",Discontinued,112.5 x 60.5 x 11.5 mm (4.43 x 2.38 x 0.45 in),102 g (3.60 oz),Mini-SIM,2.4 inches (~26.2% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 1000 mAh battery,800,6,,,,
Huawei U7510,Huawei,GSM / HSPA,Class 10,Class 10,"2009, September. Released 2009, November",Discontinued,108 x 56 x 13.8 mm (4.25 x 2.20 x 0.54 in),-,Mini-SIM,2.8 inches (~40.1% screen-to-body ratio),"microSD, 8192",Removable Li-Ion battery,380,4,,100,,
Huawei U1250,Huawei,GSM / UMTS,Class 10,Class 10,"2009, February. Released 2009, July",Discontinued,"106 x 46 x 11.5 mm, 66 cc (4.17 x 1.81 x 0.45 in)",90 g (3.17 oz),Mini-SIM,2.0 inches (~25.4% screen-to-body ratio),"microSD, 8192",Removable Li-Ion battery,,,,15,,
Huawei U9150,Huawei,GSM / HSPA,Class 10,Class 10,"2009, February. Released 2009, August",Discontinued,-,-,Mini-SIM,2.4 inches,microSD,Removable Li-Ion 1300 mAh battery,,,,,,
Huawei T552,Huawei,GSM / HSPA,Class 10,Class 10,2009,Discontinued,107.5 x 54.5 x 15.5 mm (4.23 x 2.15 x 0.61 in),110 g (3.88 oz),Mini-SIM,3.0 inches (~43.7% screen-to-body ratio),"microSD, 8192",Removable Li-Ion battery,240,6,,,,
Huawei U8220,Huawei,GSM / HSPA,Class 10,Class 10,"2009, August. Released 2009, October",Discontinued,116 x 63 x 14 mm (4.57 x 2.48 x 0.55 in),135 g (4.76 oz),Mini-SIM,3.5 inches (~49.9% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 1500 mAh battery,300,3,,192,"Android OS, v1.5 (Cupcake)",
Huawei U8100,Huawei,GSM / HSPA,Class 10,Class 10,"2010, February","Available. Released 2010, July",107.5 x 57 x 13.8 mm (4.23 x 2.24 x 0.54 in),104 g (3.67 oz),Mini-SIM,2.8 inches (~39.6% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1150 mAh battery,240,4,,,"Android OS, v2.1 (Eclair)",
Huawei U8110,Huawei,GSM / HSPA,Class 10,Class 10,"2010, February","Available. Released 2010, July",106 x 57 x 14 mm (4.17 x 2.24 x 0.55 in),110 g (3.88 oz),Mini-SIM,2.8 inches (~40.2% screen-to-body ratio),microSD,Removable Li-Ion 1150 mAh battery,280,3,,,"Android OS, v2.1 (Eclair)",
Huawei U8300,Huawei,GSM / HSPA,Class 10,Class 10,"2010, February","Available. Released 2010, July",94 x 64 x 11 mm (3.70 x 2.52 x 0.43 in),104 g (3.67 oz),Mini-SIM,2.6 inches (~34.8% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 930 mAh battery,450,5,,,"Android OS, v2.1 (Eclair)",
Huawei U8230,Huawei,GSM / HSPA,Class 10,Class 10,"2009, June. Released 2009",Discontinued,117 x 63 x 14 mm (4.61 x 2.48 x 0.55 in),-,Mini-SIM,3.5 inches (~49.5% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 1500 mAh battery,,,528 MHz ARM 11,256,"Android OS, v2.1 (Eclair)",
Huawei U9130 Compass,Huawei,GSM / HSPA,Class 10,Class 10,"2009, December. Released 2010, Q1",Discontinued,114.5 x 61 x 13.5 mm (4.51 x 2.40 x 0.53 in),102 g (3.60 oz),Mini-SIM,2.4 inches (~25.5% screen-to-body ratio),"microSD, 8192",Removable Li-Ion 1250 mAh battery,350,4,,40,,
Huawei G7002,Huawei,GSM,Class 10,No,"2010, June","Available. Released 2010, June",98.4 x 51.3 x 13.6 mm (3.87 x 2.02 x 0.54 in),95 g (3.35 oz),Mini-SIM,,microSD,Removable Li-Ion battery,300,6,,2,,
Huawei U8500 IDEOS X2,Huawei,GSM / HSPA,Class 10,Class 10,"2010, June","Available. Released 2010, 3Q",112 x 58 x 12.8 mm (4.41 x 2.28 x 0.50 in),115 g (4.06 oz),Mini-SIM,3.2 inches (~46.9% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1150 mAh battery,300,5,528 MHz,512,"Android OS, v2.1 (Eclair), upgradable to v2.2 (Froyo)",
Huawei U8150 IDEOS,Huawei,GSM / HSPA,Class 10,Class 10,"2010, September","Available. Released 2010, September",104 x 54.8 x 13.5 mm (4.09 x 2.16 x 0.53 in),102.1 g (3.60 oz),Mini-SIM,2.8 inches (~42.6% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1200 mAh battery,220,4,528 MHz ARM 11,512,"Android OS, v2.2 (Froyo)",
Huawei U9000 IDEOS X6,Huawei,GSM / HSPA,Yes,Yes,"2010, December","Available. Released 2011, June",122 x 66 x 10 mm (4.80 x 2.60 x 0.39 in),143 g (5.04 oz),Mini-SIM,4.1 inches (~59.4% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1400 mAh battery,,8,1.0 GHz Scorpion,2048,"Android OS, v2.2 (Froyo)",
Huawei U8800 IDEOS X5,Huawei,GSM / HSPA,Class 10,Class 10,"2010, December","Available. Released 2011, April",120 x 62 x 11.6 mm (4.72 x 2.44 x 0.46 in),130 g (4.59 oz),Mini-SIM,3.8 inches (~55.2% screen-to-body ratio),"microSD, 32 GB",Removable Li-Po 1500 mAh battery,380,8,800 MHz Scorpion,Feb-96,"Android OS, v2.2 (Froyo), upgradable to v2.3 (Gingerbread)",
Huawei IDEOS S7,Huawei,GSM / HSPA,Yes,Yes,"2010, January","Available. Released 2010, Q1",209 x 108 x 15.5 mm (8.23 x 4.25 x 0.61 in),500 g (1.10 lb),Mini-SIM,7.0 inches (~61.8% screen-to-body ratio),"microSD, 32 GB",Non-removable Li-Ion 2200 mAh battery,168,5,1.0 GHz Scorpion,8192,"Android OS, v2.1 (Eclair), upgradable to v2.2 (Froyo)",
Huawei U1270,Huawei,GSM / HSPA,Yes,Yes,"2009, September. Released 2009, December",Discontinued,107.2 x 46.6 x 12.4 mm (4.22 x 1.83 x 0.49 in),80.6 g (2.82 oz),Mini-SIM,2.0 inches (~24.8% screen-to-body ratio),"microSD, 8192",Removable Li-Ion 800 mAh battery,320,3,,15,,
Huawei IDEOS S7 Slim,Huawei,GSM / HSPA,Yes,Yes,"2011, February","Available. Released 2011, April",200 x 109.5 x 12.5 mm (7.87 x 4.31 x 0.49 in),440 g (15.52 oz),Mini-SIM,7.0 inches (~63.7% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 3250 mAh battery,180,6,1.0 GHz Scorpion,8192,"Android OS, v2.2 (Froyo)",
Huawei U8510 IDEOS X3,Huawei,GSM / HSPA,Class 10,Class 10,"2011, February. Released 2011, July",Discontinued,110 x 56.5 x 11.2 mm (4.33 x 2.22 x 0.44 in),104 g (3.67 oz),Mini-SIM,3.2 inches (~49.1% screen-to-body ratio),"microSD, 32 GB",Removable Li-Po 1200 mAh battery,250,4,600 MHz ARM 11,512,"Android OS, v2.3 (Gingerbread)",
Huawei U7520,Huawei,GSM / HSPA,Yes,Yes,2010,Available. Released 2010,106 x 56 x 13.5 mm (4.17 x 2.20 x 0.53 in),105 g (3.70 oz),Mini-SIM,2.8 inches (~40.9% screen-to-body ratio),"microSD, 8192",Removable Li-Ion 1000 mAh battery,,,,1024,,
Huawei IDEOS S7 Slim CDMA,Huawei,CDMA / EVDO,No,No,"2011, February. Released 2011, Q3",Discontinued,200 x 109.5 x 12.5 mm (7.87 x 4.31 x 0.49 in),440 g (14.11 oz),Mini-SIM,7.0 inches (~63.7% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 3250 mAh battery,240,5,,,"Android OS, v2.2 (Froyo)",
Huawei G6150,Huawei,GSM,Yes,No,"2010, September","Available. Released 2011, January",113 x 59 x 9.9 mm (4.45 x 2.32 x 0.39 in),-,Dual SIM (Mini-SIM),2.41 inches (~27.0% screen-to-body ratio),"microSD, 4 GB",Removable Li-Ion 1100 mAh battery,300,7,,128,,
Huawei U5900s,Huawei,GSM / HSPA,Class 10,Class 10,"2011, Q1","Available. Released 2011, May",104.5 x 51.2 x 11.8 mm (4.11 x 2.02 x 0.46 in),112 g (3.95 oz),Mini-SIM,2.4 inches (~33.3% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 830 mAh battery,200,4,,10,,
Huawei G7010,Huawei,GSM,Class 10,No,"2010, November",Available. Released 2011,105 x 55 x 10.9 mm (4.13 x 2.17 x 0.43 in),100 g (3.53 oz),Mini-SIM,2.8 inches (~42.0% screen-to-body ratio),"microSD, 4 GB",Removable Li-Ion 1100 mAh battery,300,6,,,,
Huawei U3100,Huawei,GSM / UMTS,Yes,Yes,2010. Released 2010,Discontinued,106 x 46 x 13 mm (4.17 x 1.81 x 0.51 in),90 g (3.17 oz),Mini-SIM,2.0 inches (~25.4% screen-to-body ratio),"microSD, 8192",Removable Li-Ion 1000 mAh battery,400,4,,10,,
Huawei G6608,Huawei,GSM,Yes,No,"2011, Q2","Available. Released 2011, Q2",112 x 60 x 12 mm (4.41 x 2.36 x 0.47 in),93 g (3.28 oz),"Dual SIM (Mini-SIM, dual stand-by)",2.4 inches (~26.5% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 1000 mAh battery,200,4,,,,
Huawei Ascend II,Huawei,CDMA / EVDO,No,No,"2011, July","Available. Released 2011, July",117 x 61 x 13 mm (4.61 x 2.40 x 0.51 in),120 g (4.23 oz),Mini-SIM,3.5 inches (~51.1% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1400 mAh battery,300,3,600 MHz,512,"Android OS, v2.3 (Gingerbread)",
Huawei C3200,Huawei,CDMA,No,No,2010,Available. Released 2010,107 x 45.5 x 14.3 mm (4.21 x 1.79 x 0.56 in),80 g (2.82 oz),Mini-SIM,1.47 inches (~14.3% screen-to-body ratio),No,Removable Li-Ion 1050 mAh battery,250,4,,32,,
Huawei U8850 Vision,Huawei,GSM / HSPA,Yes,Yes,"2011, August","Available. Released 2011, Q3",118 x 59.9 x 9.9 mm (4.65 x 2.36 x 0.39 in),121 g (4.27 oz),Mini-SIM,3.7 inches (~55.1% screen-to-body ratio),"microSD, 32 GB",Non-removable Li-Ion 1400 mAh battery,400,6,1.0 GHz Scorpion,2048,"Android OS, v2.3.4 (Gingerbread)",
Huawei Impulse 4G,Huawei,GSM / HSPA,Yes,Yes,"2011, September","Available. Released 2011, September",120 x 65 x 11.6 mm (4.72 x 2.56 x 0.46 in),130 g (4.59 oz),Mini-SIM,3.8 inches (~52.7% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1500 mAh battery,240,4,800 MHz Scorpion,512,"Android OS, v2.2 (Froyo)",
Huawei G5500,Huawei,GSM,Yes,Yes,"2011, Q2",Available. Released 2011,107 x 45 x 11.5 mm (4.21 x 1.77 x 0.45 in),85 g (3.00 oz),Mini-SIM,2.0 inches (~26.1% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 800 mAh battery,400,2,MT 6253 chipset,64,,
Huawei G7206,Huawei,GSM,Yes,Yes,"2011, Q2",Available. Released 2011,106 x 56 x 11.3 mm (4.17 x 2.20 x 0.44 in),89 g (3.14 oz),"Dual SIM (Mini-SIM, dual stand-by)",2.8 inches (~40.9% screen-to-body ratio),"microSD, 8192",Removable Li-Ion 1050 mAh battery,500,5,MT 6253 chipset,1,,
Huawei U8860 Honor,Huawei,GSM / HSPA,Class 10,Class 10,"2011, September","Available. Released 2011, December",122 x 61 x 11 mm (4.80 x 2.40 x 0.43 in),140 g (4.94 oz),Mini-SIM,4.0 inches (~59.2% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1930 mAh battery,380,6,1.4 GHz Scorpion,4096,"Android OS, v2.3 (Gingerbread), upgradable to v4.0 (Ice Cream Sandwich)",
Huawei U8180 IDEOS X1,Huawei,GSM / HSPA,Yes,Yes,"2011, May",Available,104 x 56 x 13 mm (4.09 x 2.20 x 0.51 in),100 g (3.53 oz),Mini-SIM,2.8 inches (~41.7% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1200 mAh battery,336,4,528 MHz ARM 11,512,"Android OS, v2.2 (Froyo)",
Huawei U8650 Sonic,Huawei,GSM / HSPA,Yes,Yes,"2011, July",Available,116.3 x 60.5 x 11.9 mm (4.58 x 2.38 x 0.47 in),120 g (4.23 oz),Mini-SIM,3.5 inches (~51.8% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1400 mAh battery,400,8,,512,"Android OS, v2.3.3 (Gingerbread)",
Huawei G6620,Huawei,GSM,Class 12,No,"2011, July",Available,108 x 59 x 12 mm (4.25 x 2.32 x 0.47 in),-,Dual SIM (Mini-SIM),2.4 inches (~28.0% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 800 mAh battery,,,,,,
Huawei U8800 Pro,Huawei,GSM / HSPA,Class 10,Class 10,"2011, Q2",Available,120 x 62 x 11.6 mm (4.72 x 2.44 x 0.46 in),130 g (4.59 oz),Mini-SIM,3.8 inches (~55.2% screen-to-body ratio),"microSD, 32 GB",Removable Li-Po 1500 mAh battery,380,8,1.0 GHz Scorpion,Feb-96,"Android OS, v2.3 (Gingerbread)",
Huawei U8350 Boulder,Huawei,GSM / HSPA,Class 10,Yes,2011,"Available. Released 2011, October",115 x 62.8 x 9.9 mm (4.53 x 2.47 x 0.39 in),105 g (3.70 oz),Mini-SIM,2.6 inches (~29.0% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1200 mAh battery,,,528 MHz ARM 11,512,"Android OS, v2.2 (Froyo)",
Huawei U8520 Duplex,Huawei,GSM / HSPA,Yes,Yes,"2011, October","Available. Released 2011, October",112 x 57 x 12.7 mm (4.41 x 2.24 x 0.5 in),109 g (3.84 oz),"Dual SIM (Mini-SIM, dual stand-by)",3.2 inches (~47.8% screen-to-body ratio),"microSD, 32 GB, 2 GB included",Removable Li-Ion 1500 mAh battery,120,7,600 MHz ARM 11,512,"Android OS, v2.2 (Froyo)",
Huawei MediaPad,Huawei,GSM / HSPA,Yes,Yes,"2011, Q3",Available,190 x 124 x 10.5 mm (7.48 x 4.88 x 0.41 in),390 g (13.76 oz),Mini-SIM,7.0 inches (~60.3% screen-to-body ratio),"microSD, 32 GB",Non-removable Li-Po 4100 mAh battery,200,6,Dual-core 1.2 GHz Scorpion,8192,"Android OS, v3.2 (Honeycomb), upgradable to v4.0 (Ice Cream Sandwich)",
Huawei MediaPad S7-301w,Huawei,No cellular connectivity,No,No,"2011, Q3",Available,190 x 124 x 10.5 mm (7.48 x 4.88 x 0.41 in),390 g (13.76 oz),No,7.0 inches (~60.3% screen-to-body ratio),"microSD, 32 GB",Non-removable Li-Po 4100 mAh battery,200,6,Dual-core 1.2 GHz Scorpion,8192,"Android OS, v3.2 (Honeycomb), upgradable to v4.0 (Ice Cream Sandwich)",
Huawei Pillar,Huawei,CDMA / CDMA2000,No,No,"2011, September",Available,109.2 x 61 x 12.7 mm (4.30 x 2.40 x 0.5 in),99 g (3.49 oz),Mini-SIM,2.0 inches (~18.6% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 900 mAh battery,240,4,,,,
Huawei G7005,Huawei,GSM,Class 12,No,"2011, November","Available. Released 2012, September",93 x 51 x 14.2 mm (3.66 x 2.01 x 0.56 in),75 g (2.65 oz),Mini-SIM,2.4 inches (~37.6% screen-to-body ratio),"microSD, 4 GB",Removable Li-Ion 800 mAh battery,600,5,,,,
Huawei G7300,Huawei,GSM,Yes,Yes,"2011, November","Available. Released 2011, November",116.5 x 60 x 11.5 mm (4.59 x 2.36 x 0.45 in),110 g (3.88 oz),Mini-SIM,3.5 inches (~52.2% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 1300 mAh battery,200,3,312 MHz,40 MB,,
Huawei M886 Mercury,Huawei,CDMA / EVDO,No,No,"2011, December","Available. Released 2011, December",122 x 61 x 13 mm (4.80 x 2.40 x 0.51 in),139 g (4.90 oz),Mini-SIM,4.0 inches (~59.2% screen-to-body ratio),"microSD, 32 GB",Removable Li-Po 1900 mAh battery,380,6,1.4 GHz Scorpion,4096,"Android OS, v2.3.3 (Gingerbread)",
Huawei Ascend P1s,Huawei,GSM / HSPA,Yes,Yes,"2012, January","Available. Released 2012, September",127.4 x 64.8 x 6.7 mm (5.02 x 2.55 x 0.26 in),130 g (4.59 oz),Mini-SIM,4.3 inches (~61.7% screen-to-body ratio),"microSD, 32 GB",Non-removable Li-Ion 1800 mAh battery,,,Dual-core 1.5 GHz Cortex-A9,4096,"Android OS, v4.0 (Ice Cream Sandwich)",
Huawei Ascend P1,Huawei,GSM / HSPA,Yes,Yes,"2012, January","Available. Released 2012, May",127.4 x 64.8 x 7.7 mm (5.02 x 2.55 x 0.30 in),110 g (3.88 oz),Mini-SIM,4.3 inches (~61.7% screen-to-body ratio),"microSD, 32 GB",Non-removable Li-Ion 1670 mAh battery,,,Dual-core 1.5 GHz Cortex-A9,4096,"Android OS, v4.0 (Ice Cream Sandwich), planned upgrade to v4.2 (Jelly Bean)",
Huawei U5510,Huawei,GSM / HSPA,Yes,Yes,2011,Available,115 x 49.5 x 13.2 mm (4.53 x 1.95 x 0.52 in),90 g (3.17 oz),"Dual SIM (Mini-SIM, dual stand-by)",2.4 inches (~31.3% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1000 mAh battery,350,3,650 MHz,512,,
Huawei Ascend D quad,Huawei,GSM / HSPA,Yes,Yes,"2012, February","Available. Released 2012, August",129 x 64.9 x 8.9 mm (5.08 x 2.56 x 0.35 in),130 g (4.59 oz),Mini-SIM,4.5 inches (~66.7% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1800 mAh battery,,,Quad-core 1.5 GHz Cortex-A9,8192,"Android OS, v4.0 (Ice Cream Sandwich)",
Huawei Ascend D quad XL,Huawei,GSM / HSPA,Yes,Yes,"2012, February","Available. Released 2012, September",129 x 64 x 10.9 mm (5.08 x 2.52 x 0.43 in),150 g (5.29 oz),Mini-SIM,4.5 inches (~67.6% screen-to-body ratio),"microSD, 32 GB",Removable Li-Po 2600 mAh battery,,,Quad-core 1.4 GHz Cortex-A9,8192,"Android OS, v4.0 (Ice Cream Sandwich)",
Huawei Ascend D1,Huawei,GSM / HSPA,Yes,Yes,"2012, February","Available. Released 2012, July",129 x 64 x 8.9 mm (5.08 x 2.52 x 0.35 in),132 g (4.66 oz),Mini-SIM,4.5 inches (~67.6% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1800 mAh battery,400,10,Dual-core 1.5 GHz,8192,"Android OS, v4.0 (Ice Cream Sandwich), planned upgrade to v4.2 (Jelly Bean)",
Huawei MediaPad 10 FHD,Huawei,GSM / HSPA / LTE,Yes,Yes,"2012, February","Available. Released 2012, September",257.4 x 175.9 x 8.8 mm (10.13 x 6.93 x 0.35 in),580 g (1.28 lb),Mini-SIM,10.0 inches (~64.0% screen-to-body ratio),"microSD, 32 GB",Non-removable Li-Po 6600 mAh battery,,,Quad-core 1.2 GHz Cortex-A9,8192,"Android OS, v4.0 (Ice Cream Sandwich)",
Huawei Ascend G300,Huawei,GSM / HSPA,Yes,384 kbps,"2012, February","Available. Released 2012, May",122.5 x 63 x 10.5 mm (4.82 x 2.48 x 0.41 in),140 g (4.94 oz),Mini-SIM,4.0 inches (~59.0% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1350/1500 mAh battery,320,5,1.0 GHz Cortex-A5,4096,"Android OS, v2.3 (Gingerbread), upgradable to v4.0 (Ice Cream Sandwich)",
Huawei D51 Discovery,Huawei,GSM,Yes,,2011,Available,114.5 x 50.5 x 16 mm (4.51 x 1.99 x 0.63 in),106 g (3.74 oz),Mini-SIM,2.0 inches (~21.4% screen-to-body ratio),microSD,Removable Li-Ion 1000 mAh battery,450,5,,,,
Huawei T8300,Huawei,GSM,Class 10,Class 10,2011,Available,110 x 56.5 x 11.2 mm (4.33 x 2.22 x 0.44 in),104 (3.67 oz),Mini-SIM,3.2 inches (~49.1% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1200 mAh battery,,,800 MHz,512,Android-based OPhone OS v2.5,
Huawei Fusion U8652,Huawei,GSM / HSPA,Yes,Yes,"2012, March","Available. Released 2012, March",116.1 x 60.5 x 11.9 mm (4.57 x 2.38 x 0.47 in),117.1 g (4.13 oz),Mini-SIM,3.5 inches (~51.9% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1400 mAh battery,390,6,,256,"Android OS, v2.3.3 (Gingerbread)",
Huawei G6609,Huawei,GSM,Class 12,Yes,"2012, April","Available. Released 2012, September",113.8 x 60.5 x 11.5 mm (4.48 x 2.38 x 0.45 in),98 g (3.46 oz),Mini-SIM,2.4 inches (~25.9% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 1050 mAh battery,470,4,,,,
Huawei Ascend Q M5660,Huawei,CDMA / EVDO,No,No,"2012, August","Available. Released 2012, August",121.9 x 58.4 x 12.7 mm (4.80 x 2.30 x 0.5 in),132.2 (4.66 oz),Mini-SIM,3.2 inches (~42.8% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1500 mAh battery,240,4,800 MHz,,"Android OS, v2.3 (Gingerbread)",
Huawei Activa 4G,Huawei,CDMA / LTE,No,No,"2012, June","Available. Released 2012, June",122 x 61 x 10.7 mm (4.80 x 2.40 x 0.42 in),140 g (4.94 oz),Mini-SIM,3.5 inches (~49.0% screen-to-body ratio),"microSD, 32 GB, 4 GB included",Removable Li-Ion 1880 mAh battery,115,3,800 MHz Cortex-A5,150,"Android OS, v2.3.6 (Gingerbread)",
Huawei Ascend Y200,Huawei,GSM / HSPA,Yes,Yes,"2012, May","Available. Released 2012, May",116.9 x 60.4 x 11.7 mm (4.60 x 2.38 x 0.46 in),120 g (4.23 oz),Mini-SIM,3.5 inches (~51.7% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1250/1400 mAh battery,220,4,800 MHz Cortex-A5,256,"Android OS, v2.3 (Gingerbread)",
Huawei Ascend Y100,Huawei,GSM / HSPA,Yes,Yes,"2012, May","Available. Released 2012, May",106.5 x 56 x 10.9 mm (4.19 x 2.20 x 0.43 in),100 g (3.53 oz),Mini-SIM,2.8 inches (~40.7% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1050 mAh battery,514,5,800 MHz Cortex-A5,256,"Android OS, v2.3 (Gingerbread)",
Huawei G5000,Huawei,GSM,No,No,"2012, Q2","Available. Released 2012, Q2",113.8 x 52.6 x 15.1 mm (4.48 x 2.07 x 0.59 in),-,Dual SIM (Mini-SIM),2.0 inches (~21.0% screen-to-body ratio),microSD,Removable Li-Ion 1000 mAh battery,,,,4 MB RAM,,
Huawei G6310,Huawei,GSM,Yes,Yes,"2012, Q2","Available. Released 2012, Q2",113 x 59.8 x 12.5 mm (4.45 x 2.35 x 0.49 in),-,Dual SIM (Mini-SIM),2.4 inches (~26.4% screen-to-body ratio),"microSD, 16 GB",Removable Li-Ion 1000 mAh battery,,,MT6235,256 MB RAM,,
Huawei MediaPad 7 Lite,Huawei,GSM / HSPA,Class 12,Class 12,"2012, July","Available. Released 2012, September",193 x 120 x 11 mm (7.60 x 4.72 x 0.43 in),370 g (13.05 oz),Mini-SIM,7.0 inches (~59.5% screen-to-body ratio),"microSD, 32 GB",Non-removable Li-Po 4100 mAh battery,,,1.2 GHz Cortex-A8,8192,"Android OS, v4.0.4 (Ice Cream Sandwich)",
Huawei Ascend G600,Huawei,GSM / HSPA,Yes,Yes,"2012, August","Available. Released 2012, September",134 x 67.5 x 10.5 mm (5.28 x 2.66 x 0.41 in),145 g (5.11 oz),Mini-SIM,4.5 inches (~61.7% screen-to-body ratio),"microSD, 32 GB",Removable Li-Po 1930 mAh battery,360,,Dual-core 1.2 GHz,4096,"Android OS, v4.0.4 (Ice Cream Sandwich)",
Huawei Ascend G330,Huawei,GSM / HSPA,Class 10,Class 10,"2012, August","Available. Released 2012, October",122.5 x 62.6 x 11.2 mm (4.82 x 2.46 x 0.44 in),130 g (4.59 oz),Mini-SIM,4.0 inches (~59.4% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1500 mAh battery,350,5,Dual-core 1.0 GHz Cortex-A5,4096,"Android OS, v4.0 (Ice Cream Sandwich)",
Huawei Ascend D1 XL U9500E,Huawei,GSM / HSPA,Yes,Yes,2012,"Available. Released 2012, Q3",129.9 x 64.9 x 8.9 mm (5.11 x 2.56 x 0.35 in),132 g (4.66 oz),Mini-SIM,4.5 inches (~66.2% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 2600 mAh battery,,,Dual-core 1.5 GHz,8192,"Android OS, v4.0 (Ice Cream Sandwich)",
Huawei Ascend P1 XL U9200E,Huawei,GSM / HSPA,Yes,Yes,2012,"Available. Released 2012, Q3",-,-,Mini-SIM,4.3 inches,"microSD, 32 GB",Non-removable Li-Ion 2600 mAh battery,,,Dual-core 1.5 GHz Cortex-A9,4096,"Android OS, v4.0.3 (Ice Cream Sandwich)",
